time,rr_interval,lf,hf,lf_hf_ratio,hr,mean_hr,max_hr,min_hr,rmssd,sdnn,breath_rate
200,920,1751.0836313646214,424.5178952641688,4.1248758907441525,68.23814933388414,68.91694862554183,83.44565560556624,57.94323137134504,38.27553288086107,72.43191796609008,13.5
201,955,1651.3351287305327,436.78877784552003,3.780626271755003,64.02230821761894,68.8248488523529,83.44565560556624,57.943231358420775,38.207982221046926,72.47013605968357,13.5
202,899,1552.8362903494449,452.4856447406308,3.431791280891454,64.78402413385437,68.77495935229625,83.44565560556624,57.94323132965385,38.36361447584464,72.70874804155667,13.5
203,864,1453.3760813006365,465.5097822074026,3.1221171645606822,68.09263379063157,68.87761547914275,83.44565560556624,57.943231423042114,37.89533827573053,72.65617312505094,13.5
203,894,1376.1070720727498,478.993370957386,2.8729146487398385,68.27926920208799,68.88341867770514,83.44565560556624,57.9432315030892,37.859193501690754,72.91987029293392,13.5
204,882,1309.528363381599,488.4186051059161,2.681159869201996,67.57065242204264,68.832185378611,83.44565560556624,57.94323151643038,37.86811865850487,72.64068635792727,14.0
205,853,1253.2430866376499,496.40124175894266,2.5246574367882766,69.18359371884745,68.74171261337506,83.44565560556624,57.94323104281847,37.80039305668222,72.05132246100838,14.0
206,884,1208.180851138471,508.1850593744447,2.377442683233728,69.10663986038098,68.72154593499131,83.44565560556624,57.94323073597131,37.86552503317404,71.97623473251855,13.5
207,965,1166.8385357099955,512.6318926702464,2.2761723419743833,65.02473448526482,68.78565523086934,83.44565560556624,57.943233911172435,37.707401412577674,73.01095653699142,13.5
208,996,1145.603542332306,517.466550075463,2.2138697509341245,61.20856482926525,68.6662639147494,83.44565560556624,57.94323327079571,37.82572785732242,72.62303311762216,13.5
209,800,1135.8090070226026,522.2095279939045,2.1750062879661978,67.62048192771084,68.59074663329794,83.44565560556624,57.94323102947729,38.39594430396935,71.98163822400178,14.0
